OG      dmel    dsim    dsec    dyak    dere    dana    dpse    dper    dwil    dmoj    dvir    dgri    
OG_0    1       1       1       2       1       1       1       1       1       1       1       1       
OG_1    1       1       1       1       1       1       1       1       1       1       1       1       
OG_2    2       2       2       2       2       2       2       2       2       2       2       2       
OG_3    1       1       1       1       1       1       1       1       2       1       1       1       
OG_4    1       1       1       1       1       1       1       1       1       1       1       1       
OG_5    1       1       1       1       1       1       1       1       1       1       1       1       
OG_6    1       1       1       1       0       1       1       1       1       1       1       1       
OG_7    1       1       1       1       1       1       1       1       1       1       1       3       
OG_8    2       2       2       3       2       2       2       2       2       2       2       2       
OG_9    0       0       0       0       0       0       1       1       0       0       0       0       
OG_10   3       3       3       3       3       3       3       3       3       3       3       3       
OG_11   1       1       1       1       1       1       1       1       1       1       1       1       
OG_12   1       1       1       1       1       1       1       1       1       1       1       1       
OG_13   1       1       1       1       0       0       0       0       0       0       0       0       
OG_14   0       0       0       1       0       0       0       0       0       0       0       0       
OG_15   1       1       1       1       1       3       0       0       0       0       0       0       
OG_16   1       1       1       1       1       0       0       0       0       0       0       0       
OG_17   1       1       1       1       1       1       1       1       1       1       1       1       
OG_18   1       1       1       1       1       1       1       1       4       1       1       1       
OG_19   1       1       1       1       1       1       1       1       1       0       0       0       
OG_20   1       1       1       1       1       1       1       1       1       1       1       1       
OG_21   1       1       1       1       1       1       1       1       1       1       1       1       
OG_22   1       1       1       1       1       1       1       1       1       1       1       1       
OG_23   0       0       0       0       0       2       0       0       0       0       0       0       
OG_24   1       1       1       1       1       1       1       1       1       1       1       1       
OG_25   1       1       1       1       1       1       1       1       1       1       1       1       
OG_26   1       1       1       1       1       1       1       1       1       1       0       0       
OG_27   1       1       1       1       1       1       0       0       0       0       0       0       
OG_28   3       3       3       3       3       3       3       3       4       3       3       4       
OG_29   0       1       0       0       0       0       0       0       0       0       0       0       
OG_30   1       1       1       1       1       0       1       1       1       0       0       0       
OG_31   1       1       1       1       1       1       1       1       1       1       1       1       
OG_32   1       1       1       1       1       1       1       1       1       0       1       1       
OG_33   0       0       0       0       0       0       0       0       2       0       0       0       
OG_34   0       0       0       0       0       0       0       0       0       1       0       0       
OG_35   1       1       1       1       1       1       1       1       1       1       1       1       
OG_36   1       1       1       1       1       1       1       1       1       1       1       1       
OG_37   1       1       1       1       1       1       1       1       1       1       1       1       
OG_38   0       0       0       0       0       0       0       0       1       0       0       0       
OG_39   1       1       1       1       1       1       1       1       1       1       1       1       
OG_40   0       0       0       0       0       0       0       0       2       0       0       0       
OG_41   1       1       1       1       1       1       0       0       1       0       0       0       
OG_42   1       1       1       1       1       2       1       1       1       2       2       2       
OG_43   1       1       1       1       1       1       1       1       1       1       1       1       
OG_44   1       1       1       1       1       1       1       1       1       1       1       3       
OG_45   1       1       1       1       1       1       1       1       1       1       1       1       
OG_46   1       1       1       1       1       1       1       1       1       0       0       0       
OG_47   1       1       1       1       1       0       0       0       0       0       0       0       
OG_48   1       1       1       1       1       0       1       1       1       1       1       0       
OG_49   0       0       0       0       0       0       0       0       6       1       0       0       
OG_50   1       1       1       1       1       0       0       0       0       0       0       0       
OG_51   1       1       1       1       1       1       1       1       1       1       1       1       
OG_52   0       0       0       0       1       0       0       0       0       0       0       0       
OG_53   1       1       1       1       1       0       1       1       1       1       1       1       
OG_54   1       1       0       1       0       1       0       0       1       0       0       1       
OG_55   1       1       1       1       1       1       1       1       1       1       1       1       
