OG	dmel	dsec	dsim	dyak	dere	dana	dpse	dper	dwil	dmoj	dvir	dgri	agam	bmor	tcas	amel	phum	apis	
OG_0	1	1	1	2	1	1	1	1	1	1	1	1	1	0	0	0	0	2	
OG_1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	
OG_2	2	2	2	2	2	2	2	2	2	2	2	2	1	3	8	0	0	2	
OG_3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
OG_4	1	1	1	1	1	1	1	1	2	1	1	1	3	0	0	0	0	0	
OG_5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	
OG_6	1	1	1	1	1	1	1	1	1	1	1	1	3	0	0	0	1	0	
OG_7	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	
OG_8	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	
OG_9	1	1	1	1	1	1	1	1	1	1	1	3	0	2	0	0	0	0	
OG_10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
OG_11	2	2	2	3	2	2	2	2	2	2	2	2	7	5	2	1	0	1	
OG_12	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	
OG_13	3	3	3	3	3	3	3	3	3	3	3	3	5	4	12	1	0	0	
OG_14	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	
OG_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
OG_16	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	
OG_17	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
OG_18	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	
OG_19	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
OG_20	1	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	
OG_21	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
OG_22	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	
OG_23	1	1	1	1	1	1	1	1	4	1	1	1	1	0	7	0	0	0	
OG_24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
OG_25	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	
OG_26	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	
OG_27	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	
OG_28	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
OG_29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
OG_30	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	
